player,sport_name,sport_id,market,line,side,american_price,decimal_price,payout_multiplier,selection_header,selection_subheader,updated_at
bluewh1te,CS,CS,kills_on_maps_1_2,,over,-112.0,1.9,1.0, bluewh1te,Higher 31.5 kills on maps 1+2,2025-09-01T02:16:06Z
bluewh1te,CS,CS,kills_on_maps_1_2,,under,-112.0,1.9,1.0, bluewh1te,Lower 31.5 kills on maps 1+2,2025-09-01T02:16:06Z
bluewh1te,CS,CS,headshots_on_maps_1_2,,over,-112.0,1.9,1.0, bluewh1te,Higher 16.5 headshots on maps 1+2,2025-09-01T02:16:06Z
bluewh1te,CS,CS,headshots_on_maps_1_2,,under,-112.0,1.9,1.0, bluewh1te,Lower 16.5 headshots on maps 1+2,2025-09-01T02:16:06Z
Kiro,CS,CS,kills_on_maps_1_2,,over,-112.0,1.9,1.0, Kiro,Higher 28.5 kills on maps 1+2,2025-08-31T23:06:19Z
Kiro,CS,CS,kills_on_maps_1_2,,under,-112.0,1.9,1.0, Kiro,Lower 28.5 kills on maps 1+2,2025-08-31T23:06:19Z
Kiro,CS,CS,headshots_on_maps_1_2,,over,-112.0,1.9,1.0, Kiro,Higher 11.5 headshots on maps 1+2,2025-08-31T23:06:19Z
Kiro,CS,CS,headshots_on_maps_1_2,,under,-112.0,1.9,1.0, Kiro,Lower 11.5 headshots on maps 1+2,2025-08-31T23:06:19Z
Kiro,CS,CS,kills_on_maps_1_2,,over,-112.0,1.9,1.0, Kiro,Higher 28.5 kills on maps 1+2,2025-09-01T02:16:06Z
Kiro,CS,CS,kills_on_maps_1_2,,under,-112.0,1.9,1.0, Kiro,Lower 28.5 kills on maps 1+2,2025-09-01T02:16:06Z
Kiro,CS,CS,headshots_on_maps_1_2,,over,-112.0,1.9,1.0, Kiro,Higher 12.0 headshots on maps 1+2,2025-09-01T02:16:06Z
Kiro,CS,CS,headshots_on_maps_1_2,,under,-112.0,1.9,1.0, Kiro,Lower 12.0 headshots on maps 1+2,2025-09-01T02:16:06Z
Jimpphat,CS,CS,kills_on_maps_1_2,,over,-112.0,1.9,1.0,Jimpphat,Higher 28.5 kills on maps 1+2,2025-08-31T23:06:01Z
Jimpphat,CS,CS,kills_on_maps_1_2,,under,-112.0,1.9,1.0,Jimpphat,Lower 28.5 kills on maps 1+2,2025-08-31T23:06:01Z
